# Radiation correction v2.3. Params: lat=41.4652, lon=1.9363, utc_time=2021-07-13 18:09
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 985.92, 26.80, 37.0, 4.20, 126.6
40, 983.70, 26.49, 37.8, 5.05, 119.5
60, 981.48, 26.34, 38.1, 5.70, 115.8
80, 979.26, 26.17, 38.1, 6.50, 112.3
100, 977.05, 25.96, 38.4, 7.10, 108.4
120, 974.84, 25.73, 38.5, 7.66, 105.0
140, 972.63, 25.27, 37.8, 7.90, 107.1
160, 970.43, 24.88, 37.6, 7.82, 106.2
180, 968.23, 24.61, 37.6, 7.69, 105.4
200, 966.02, 24.28, 38.0, 7.55, 104.4
220, 963.83, 24.14, 38.5, 7.39, 107.5
240, 961.63, 24.07, 38.7, 7.15, 108.0
260, 959.44, 23.96, 38.4, 6.87, 106.4
280, 957.26, 23.90, 38.0, 6.40, 101.4
300, 955.08, 24.10, 38.3, 5.59, 98.2
320, 952.91, 24.45, 38.6, 4.98, 99.6
340, 950.75, 24.37, 37.8, 4.81, 106.9
360, 948.58, 23.87, 37.3, 5.08, 111.8
380, 946.42, 23.27, 37.5, 5.47, 112.0
400, 944.26, 22.83, 38.3, 5.85, 110.4
420, 942.10, 22.51, 39.4, 6.02, 104.9
440, 939.94, 22.27, 40.4, 6.20, 103.7
460, 937.79, 22.02, 41.3, 6.25, 105.1
480, 935.64, 21.74, 41.9, 6.18, 106.1
500, 933.49, 21.48, 42.7, 5.91, 105.5
520, 931.35, 21.27, 43.3, 5.62, 104.4
540, 929.21, 21.04, 44.0, 5.36, 98.9
560, 927.07, 20.85, 44.5, 4.99, 93.0
580, 924.94, 20.75, 45.2, 4.81, 87.4
600, 922.81, 20.74, 45.8, 4.72, 79.2
620, 920.68, 20.73, 45.9, 4.78, 79.0
640, 918.57, 20.63, 46.0, 4.79, 78.3
660, 916.45, 20.42, 46.1, 4.99, 73.1
680, 914.34, 20.15, 46.6, 5.22, 73.6
700, 912.23, 19.88, 47.1, 5.51, 78.8
720, 910.12, 19.66, 47.6, 5.66, 83.7
740, 908.02, 19.40, 48.2, 5.61, 87.1
760, 905.92, 19.15, 48.8, 5.15, 90.5
780, 903.82, 19.00, 49.2, 4.50, 88.0
800, 901.73, 18.87, 49.6, 4.06, 87.3
820, 899.64, 18.74, 49.9, 4.25, 60.4
840, 897.55, 18.58, 50.1, 4.62, 31.8
860, 895.47, 18.49, 50.2, 5.16, 37.1
880, 893.39, 18.41, 50.3, 5.17, 43.9
900, 891.32, 18.29, 50.8, 5.46, 52.4
920, 889.25, 18.16, 51.3, 5.64, 61.0
940, 887.19, 18.08, 51.5, 5.76, 57.7
960, 885.13, 17.98, 51.8, 5.55, 52.3
980, 883.07, 17.87, 52.0, 5.27, 49.0
1000, 881.02, 17.75, 52.2, 5.11, 48.7
1020, 878.97, 17.59, 52.5, 4.91, 50.4
1040, 876.92, 17.44, 52.7, 4.65, 54.5
1060, 874.88, 17.19, 53.0, 3.79, 56.9
1080, 872.84, 16.94, 53.3, 3.01, 57.0
1100, 870.80, 16.77, 53.6, 3.06, 46.7
1120, 868.77, 16.49, 54.2, 3.59, 47.8
1140, 866.74, 16.22, 54.5, 4.01, 74.6
1160, 864.71, 15.96, 54.7, 4.33, 88.5
1180, 862.69, 15.69, 55.2, 4.32, 82.4
1200, 860.67, 15.46, 55.6, 4.44, 72.5
1220, 858.65, 15.27, 55.9, 4.57, 69.0
1240, 856.64, 15.04, 56.3, 4.82, 69.8
1260, 854.62, 14.79, 56.8, 4.83, 68.3
1280, 852.61, 14.57, 57.5, 4.99, 55.7
1300, 850.61, 14.42, 58.1, 5.10, 43.5
1320, 848.61, 14.24, 58.7, 5.07, 44.7
1340, 846.61, 14.02, 59.4, 4.93, 61.1
